lib	scope	class	typemark	name	dbkind	category
_builtin	builtin	Class	#	_load	defined	EXCESS(no-method)
_builtin	builtin	Data	.	[]	defined	EXCESS(no-method)
_builtin	builtin	Data	.	members	defined	EXCESS(no-method)
_builtin	builtin	Data	.	new	defined	EXCESS(no-method)
_builtin	builtin	File::Stat	#	birthtime	defined	EXCESS(no-method)
_builtin	builtin	Numeric	#	/	defined	EXCESS(no-method)
_builtin	builtin	Object	#	_dump	defined	EXCESS(no-method)
_builtin	builtin	Object	#	marshal_dump	defined	EXCESS(no-method)
_builtin	builtin	Object	#	marshal_load	defined	EXCESS(no-method)
_builtin	builtin	Object	::	DATA	defined	EXCESS(no-method)
_builtin	builtin	Object	::	SCRIPT_LINES__	defined	EXCESS(no-method)
_builtin	builtin	Process::Sys	.#	issetugid	defined	EXCESS(no-method)
_builtin	builtin	Process::Sys	.#	setrgid	defined	EXCESS(no-method)
_builtin	builtin	Process::Sys	.#	setruid	defined	EXCESS(no-method)
_builtin	builtin	Random::Formatter	#	alphanumeric	defined	EXCESS(no-method)
_builtin	builtin	RubyVM::YJIT	.	code_gc	defined	EXCESS(no-class)
_builtin	builtin	RubyVM::YJIT	.	dump_exit_locations	defined	EXCESS(no-class)
_builtin	builtin	RubyVM::YJIT	.	enabled?	defined	EXCESS(no-class)
_builtin	builtin	RubyVM::YJIT	.	reset_stats!	defined	EXCESS(no-class)
_builtin	builtin	RubyVM::YJIT	.	runtime_stats	defined	EXCESS(no-class)
_builtin	builtin	RubyVM::YJIT	.	stats_enabled?	defined	EXCESS(no-class)
_builtin	builtin	Struct	.	[]	defined	EXCESS(no-method)
_builtin	builtin	Struct	.	keyword_init?	defined	EXCESS(no-method)
_builtin	builtin	Struct	.	members	defined	EXCESS(no-method)
_builtin	builtin	Thread	.	DEBUG	defined	EXCESS(no-method)
_builtin	builtin	Thread	.	DEBUG=	defined	EXCESS(no-method)
cgi/core	stdlib	CGI	::	MAX_MULTIPART_LENGTH	defined	EXCESS(no-method)
cgi/core	stdlib	CGI::QueryExtension::Value	#	[]	defined	EXCESS(no-class)
cgi/core	stdlib	CGI::QueryExtension::Value	#	first	defined	EXCESS(no-class)
cgi/core	stdlib	CGI::QueryExtension::Value	#	last	defined	EXCESS(no-class)
cgi/core	stdlib	CGI::QueryExtension::Value	#	set_params	defined	EXCESS(no-class)
cgi/core	stdlib	CGI::QueryExtension::Value	#	to_a	defined	EXCESS(no-class)
cgi/core	stdlib	CGI::QueryExtension::Value	#	to_ary	defined	EXCESS(no-class)
cgi/html	stdlib	CGI::Html3	#	element_init	defined	EXCESS(no-method)
cgi/html	stdlib	CGI::Html4	#	element_init	defined	EXCESS(no-method)
cgi/html	stdlib	CGI::Html4Fr	#	element_init	defined	EXCESS(no-method)
cgi/html	stdlib	CGI::Html4Tr	#	element_init	defined	EXCESS(no-method)
cgi/util	stdlib	CGI	::	RFC822_DAYS	added	EXCESS(no-method)
cgi/util	stdlib	CGI	::	RFC822_MONTHS	added	EXCESS(no-method)
date	stdlib	DateTime	.	today	defined	EXCESS(no-method)
etc	stdlib	Etc::Passwd	#	age	defined	EXCESS(no-method)
etc	stdlib	Etc::Passwd	#	age=	defined	EXCESS(no-method)
etc	stdlib	Etc::Passwd	#	change	defined	EXCESS(no-method)
etc	stdlib	Etc::Passwd	#	change=	defined	EXCESS(no-method)
etc	stdlib	Etc::Passwd	#	comment	defined	EXCESS(no-method)
etc	stdlib	Etc::Passwd	#	comment=	defined	EXCESS(no-method)
etc	stdlib	Etc::Passwd	#	expire	defined	EXCESS(no-method)
etc	stdlib	Etc::Passwd	#	expire=	defined	EXCESS(no-method)
etc	stdlib	Etc::Passwd	#	quota	defined	EXCESS(no-method)
etc	stdlib	Etc::Passwd	#	quota=	defined	EXCESS(no-method)
etc	stdlib	Etc::Passwd	#	uclass	defined	EXCESS(no-method)
etc	stdlib	Etc::Passwd	#	uclass=	defined	EXCESS(no-method)
fiddle	stdlib	Fiddle	.	win32_last_error	defined	EXCESS(no-method)
fiddle	stdlib	Fiddle	.	win32_last_error=	defined	EXCESS(no-method)
fiddle	stdlib	Fiddle::Function	::	STDCALL	defined	EXCESS(no-method)
fiddle/import	stdlib	Fiddle::CStruct	#	to_i	defined	EXCESS(no-method)
fiddle/import	stdlib	Fiddle::CStruct	#	to_ptr	defined	EXCESS(no-method)
fiddle/import	stdlib	Fiddle::CStruct	.	malloc	defined	EXCESS(no-method)
fiddle/import	stdlib	Fiddle::CStruct	.	size	defined	EXCESS(no-method)
irb/context	stdlib	IRB::Context	#	debug?	defined	EXCESS(no-method)
irb/context	stdlib	IRB::Context	#	debug_level	defined	EXCESS(no-method)
irb/context	stdlib	IRB::Context	#	debug_level=	defined	EXCESS(no-method)
irb/ext/tracer	stdlib	IRB::Context	#	use_tracer	added	EXCESS(no-method)
irb/ext/tracer	stdlib	IRB::Context	#	use_tracer?	added	EXCESS(no-method)
irb/input-method	stdlib	IRB::InputMethod	#	readable_atfer_eof?	defined	EXCESS(no-method)
irb/input-method	stdlib	IRB::ReadlineInputMethod	#	readable_atfer_eof?	defined	EXCESS(no-method)
irb/input-method	stdlib	IRB::StdioInputMethod	#	readable_atfer_eof?	defined	EXCESS(no-method)
irb/magic-file	stdlib	IRB::MagicFile	.	ENCODING_SPEC_RE	defined	EXCESS(no-method)
json	stdlib	JSON::Ext::Generator::GeneratorMethods::String::Extend	.	json_create	defined	EXCESS(no-method)
mutex_m	stdlib	Mutex_m	#	lock	defined	EXCESS(no-method)
mutex_m	stdlib	Mutex_m	#	locked?	defined	EXCESS(no-method)
mutex_m	stdlib	Mutex_m	#	synchronize	defined	EXCESS(no-method)
mutex_m	stdlib	Mutex_m	#	try_lock	defined	EXCESS(no-method)
mutex_m	stdlib	Mutex_m	#	unlock	defined	EXCESS(no-method)
net/http	stdlib	Net::HTTPHeader	#	method	defined	EXCESS(no-method)
net/http	stdlib	Net::HTTPResponse	#	reader_header	defined	EXCESS(no-method)
net/pop	bundled	Net::POP3	::	Revision	defined	EXCESS(no-method)
openssl	stdlib	OpenSSL::Digest::DSS	.	digest	defined	EXCESS(no-class)
openssl	stdlib	OpenSSL::Digest::DSS	.	hexdigest	defined	EXCESS(no-class)
openssl	stdlib	OpenSSL::Digest::DSS	.	new	defined	EXCESS(no-class)
openssl	stdlib	OpenSSL::Digest::DSS1	.	digest	defined	EXCESS(no-class)
openssl	stdlib	OpenSSL::Digest::DSS1	.	hexdigest	defined	EXCESS(no-class)
openssl	stdlib	OpenSSL::Digest::DSS1	.	new	defined	EXCESS(no-class)
openssl	stdlib	OpenSSL::Digest::MD2	.	digest	defined	EXCESS(no-class)
openssl	stdlib	OpenSSL::Digest::MD2	.	hexdigest	defined	EXCESS(no-class)
openssl	stdlib	OpenSSL::Digest::MD2	.	new	defined	EXCESS(no-class)
openssl	stdlib	OpenSSL::Digest::MDC2	.	digest	defined	EXCESS(no-class)
openssl	stdlib	OpenSSL::Digest::MDC2	.	hexdigest	defined	EXCESS(no-class)
openssl	stdlib	OpenSSL::Digest::MDC2	.	new	defined	EXCESS(no-class)
openssl	stdlib	OpenSSL::Digest::SHA	.	digest	defined	EXCESS(no-class)
