lib	scope	unit_kind	doc_methods	measured	excess_method	excess_const	undoc	undoc_class_stub	undoc_class_undoc	undoc_priv	alias_of_doc	doc_on_ancestor	doc_on_descendant	nomethod_conflict
drb	stdlib	D	42	yes	0	0	17	0	31	29	0	28	3	0
drb/acl	stdlib	D	4	yes	0	0	0	0	3	2	0	2	0	0
drb/extserv	stdlib	D	5	yes	0	0	0	0	0	0	0	0	0	0
drb/extservm	stdlib	D	6	yes	0	0	4	0	0	3	0	0	0	0
drb/gw	stdlib	D	3	yes	0	0	0	0	0	0	0	1	0	0
drb/observer	stdlib(no-method-docs)	D	0	yes	0	0	0	0	0	0	0	1	0	0
drb/ssl	stdlib(no-method-docs)	D	0	yes	0	0	0	0	11	0	0	3	0	0
drb/timeridconv	stdlib	D	3	yes	0	0	0	0	2	4	0	1	0	0
drb/unix	stdlib	D	6	yes	0	0	3	0	0	0	0	1	0	0
erb	stdlib	D	17	yes	0	0	5	0	42	5	0	6	1	0
error_highlight	stdlib(no-method-docs)	D	0	yes	0	0	0	0	5	1	0	0	0	0
etc	stdlib	D	56	yes	12	0	2	0	0	0	0	8	0	0
expect	stdlib	E	1	yes	0	0	0	0	0	0	0	0	0	0
fcntl	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
fiddle	stdlib	D	71	yes	2	1	10	0	23	5	0	11	0	0
fiddle/import	stdlib	D	16	yes	4	0	9	2	3	3	0	2	0	0
fiddle/types	stdlib(no-method-docs)	D	0	yes	0	0	0	2	0	2	0	0	0	0
fileutils	stdlib	D	51	yes	0	0	2	3	31	79	0	233	0	0
find	stdlib	D	2	yes	0	0	0	0	0	0	0	0	0	0
forwardable	stdlib	D	14	yes	0	0	0	0	389	3	0	24	0	0
getoptlong	stdlib	D	17	yes	0	0	0	0	0	0	0	0	0	0
io/console	stdlib	D	14	yes	0	0	19	0	3	0	0	1	0	0
io/console/size	stdlib	D	2	yes	0	0	0	0	0	0	0	0	0	0
io/nonblock	stdlib	D	3	yes	0	0	0	0	0	0	0	0	0	0
io/wait	stdlib	D	6	yes	0	0	0	0	0	0	0	0	0	0
ipaddr	stdlib	D	37	yes	0	0	6	0	0	7	0	0	0	0
irb	stdlib	D	7	yes	0	0	12	18	0	2	0	2	0	0
irb/cmd/chws	stdlib	D	2	yes	0	0	0	0	0	0	0	0	0	0
irb/cmd/help	stdlib	D	1	yes	0	0	1	0	0	0	0	0	0	0
irb/cmd/load	stdlib	D	3	yes	0	0	0	0	1	0	0	0	0	0
irb/cmd/nop	stdlib	D	4	yes	0	0	3	0	0	1	0	0	0	0
irb/cmd/pushws	stdlib	D	3	yes	0	0	0	0	0	0	0	0	0	0
irb/cmd/subirb	stdlib	D	4	yes	0	0	0	0	0	1	0	1	0	0
irb/color	stdlib(no-method-docs)	D	0	yes	0	0	0	0	5	3	0	0	0	0
irb/completion	stdlib(no-method-docs)	D	0	yes	0	0	0	0	7	0	0	0	0	0
irb/context	stdlib	D	64	yes	3	0	30	0	62	3	2	12	0	0
irb/easter-egg	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
irb/ext/change-ws	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
irb/ext/history	stdlib	D	2	yes	0	0	0	0	4	0	0	2	0	0
irb/ext/loader	stdlib(no-method-docs)	D	0	yes	0	0	0	6	0	2	0	0	0	0
irb/ext/multi-irb	stdlib	D	0	require-failed	0	0	0	0	0	0	0	0	0	0
irb/ext/save-history	stdlib	D	8	yes	0	0	0	0	0	0	0	0	0	0
irb/ext/tracer	stdlib	D	3	yes	2	0	0	0	0	0	0	0	0	0
irb/ext/use-loader	stdlib	D	5	yes	0	0	0	0	0	0	2	0	0	0
irb/ext/workspaces	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
irb/extend-command	stdlib	D	9	yes	0	0	30	0	3	0	0	0	0	0
irb/frame	stdlib	D	6	yes	0	0	0	0	0	0	0	3	0	0
irb/help	stdlib	D	1	yes	0	0	0	0	0	0	0	0	0	0
irb/init	stdlib(no-method-docs)	D	0	yes	0	0	0	0	5	0	0	4	0	0
irb/input-method	stdlib	D	22	yes	3	0	15	0	0	0	0	8	0	0
irb/inspector	stdlib	D	5	yes	0	0	0	0	0	0	0	1	0	0
irb/locale	stdlib(no-method-docs)	D	0	yes	0	0	0	0	5	5	0	10	0	0
irb/magic-file	stdlib	D	2	yes	1	0	0	0	0	0	0	0	0	0
irb/notifier	stdlib(no-method-docs)	D	0	yes	0	0	0	0	15	1	0	11	0	0
irb/output-method	stdlib	D	6	yes	0	0	1	0	0	0	0	2	0	0
irb/ruby-lex	stdlib(no-method-docs)	D	0	yes	0	0	0	0	23	2	0	2	0	0
irb/src_encoding	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
irb/version	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
irb/workspace	stdlib(no-method-docs)	D	0	yes	0	0	0	6	0	0	0	2	0	0
irb/ws-for-case-2	stdlib	D	0	require-failed	0	0	0	0	0	0	0	0	0	0
irb/xmp	stdlib	D	3	yes	0	0	0	0	2	0	0	3	0	0
json	stdlib	D	66	yes	1	0	14	32	7	1	0	8	0	0
json/add/bigdecimal	stdlib	D	2	yes	0	0	0	0	0	0	0	0	0	0
json/add/complex	stdlib	D	2	yes	0	0	1	0	0	0	0	0	0	0
json/add/core	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
json/add/date	stdlib	D	2	yes	0	0	0	0	0	0	0	0	0	0
json/add/date_time	stdlib	D	2	yes	0	0	0	0	0	0	0	0	0	0
json/add/exception	stdlib	D	2	yes	0	0	1	0	0	0	0	0	0	0
json/add/ostruct	stdlib	D	2	yes	0	0	0	0	0	0	0	0	0	0
json/add/range	stdlib	D	2	yes	0	0	1	0	0	0	0	0	0	0
json/add/rational	stdlib	D	2	yes	0	0	1	0	0	0	0	0	0	0
json/add/regexp	stdlib	D	2	yes	0	0	1	0	0	0	0	0	0	0
json/add/struct	stdlib	D	2	yes	0	0	1	0	0	0	0	0	0	0
json/add/symbol	stdlib	D	2	yes	0	0	1	0	0	0	0	0	0	0
json/add/time	stdlib	D	2	yes	0	0	1	0	0	0	0	0	0	0
kconv	stdlib	D	25	yes	0	0	0	0	0	0	0	0	0	0
logger	stdlib	D	34	yes	0	0	7	0	2	14	0	1	0	0
matrix	bundled	B	170	yes	0	0	10	0	9	20	4	16	0	0
minitest	bundled(no-page)	B	0	-	0	0	0	0	194	4	0	12	0	0
minitest/autorun	bundled	B	0	yes	0	0	0	0	0	0	0	0	0	0
minitest/mock	bundled(no-method-docs)	B	0	yes	0	0	1	0	2	2	0	13	0	0
minitest/spec	bundled(no-method-docs)	B	0	yes	0	0	1	0	89	2	0	5	0	0
minitest/unit	bundled(no-method-docs)	B	0	yes	0	0	0	0	3	0	0	0	0	0
mkmf	stdlib	L	52	yes	0	0	6	0	58	4	0	0	52	0
monitor	stdlib	E	29	yes	0	0	1	0	0	3	0	1	0	0
mutex_m	stdlib	D	14	yes	5	0	1	0	5	2	0	5	0	0
net/ftp	bundled	B	86	yes	0	0	9	0	10	23	0	7	0	0
net/http	stdlib	D	168	yes	2	0	41	0	7	49	2	9	0	0
net/https	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
net/imap	bundled	B	163	yes	0	0	16	0	48	132	0	19	0	0
net/pop	bundled	B	52	yes	0	1	4	0	11	10	0	6	0	0
net/protocol	stdlib(no-method-docs)	D	0	yes	0	0	0	2	27	16	0	15	0	0
net/smtp	bundled	B	57	yes	0	0	8	11	2	26	0	4	0	0
nkf	stdlib	D	2	yes	0	0	0	0	0	0	0	0	0	0
objspace	stdlib	E	18	yes	0	0	6	0	2	12	0	1	0	0
observer	stdlib	D	7	yes	0	0	0	0	0	0	0	0	0	0
open-uri	stdlib	D	11	yes	0	0	13	1	4	0	0	3	0	0
open3	stdlib	D	11	yes	0	0	0	0	0	4	0	0	0	0
openssl	stdlib	D	719	yes	50	8	104	6	11	32	0	51	1	0
optparse	stdlib	D	55	yes	0	0	27	16	31	9	4	9	0	0
optparse/date	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
optparse/shellwords	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
optparse/time	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
optparse/uri	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
ostruct	stdlib	D	14	yes	2	0	39	0	0	7	8	6	0	0
pathname	stdlib	D	100	yes	0	0	2	0	0	9	0	2	0	0
power_assert	bundled(no-method-docs)	B	0	yes	0	0	0	0	6	4	0	0	0	0
pp	stdlib	D	13	yes	0	0	4	0	7	0	0	23	8	0
prettyprint	stdlib	D	13	yes	0	0	5	0	21	0	0	5	0	0
prime	bundled	B	32	yes	0	0	3	0	2	6	0	9	0	0
pstore	stdlib	D	15	yes	1	0	2	0	0	10	0	1	0	0
psych	stdlib	D	121	yes	1	0	70	2	76	43	0	41	1	0
pty	stdlib	E	5	yes	0	0	0	0	0	0	0	0	0	0
racc/parser	stdlib	D	9	yes	0	0	9	0	0	8	0	0	0	0
rake	bundled	B	146	yes	3	0	204	1	50	51	2	89	2	0
rake/clean	bundled(no-method-docs)	B	0	yes	0	0	0	0	2	6	0	0	0	0
rake/loaders/makefile	bundled	B	1	yes	0	0	0	0	0	2	0	0	0	0
rake/packagetask	bundled	B	29	yes	0	0	7	0	0	0	0	0	0	0
rake/rake_test_loader	bundled	B	0	yes	0	0	0	0	0	0	0	0	0	0
rake/tasklib	bundled	B	0	yes	0	0	0	0	0	0	0	0	0	0
rake/testtask	bundled	B	19	yes	0	0	11	0	0	0	0	0	0	0
random/formatter	undoc-lib	.	0	-	0	0	5	0	0	2	0	0	0	0
rbconfig	stdlib	L	2	yes	0	0	1	0	0	0	0	0	0	0
rbconfig/sizeof	stdlib	L	0	yes	0	0	0	0	0	0	0	0	0	0
rbs	bundled(no-method-docs)	B	0	yes	0	0	2	0	901	48	0	351	0	0
rdoc	stdlib(no-method-docs)	D	0	yes	0	0	0	2	333	125	0	68	0	0
rdoc/alias	stdlib(no-method-docs)	D	0	yes	0	0	0	13	0	0	0	4	0	0
rdoc/anon_class	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
rdoc/any_method	stdlib(no-method-docs)	D	0	yes	0	0	0	21	0	2	0	3	0	0
rdoc/attr	stdlib(no-method-docs)	D	0	yes	0	0	0	7	0	0	0	7	0	0
rdoc/class_module	stdlib(no-method-docs)	D	0	yes	0	0	0	41	0	0	0	7	0	0
rdoc/code_object	stdlib	D	19	yes	2	0	22	0	0	0	0	0	1	0
rdoc/code_objects	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
rdoc/constant	stdlib(no-method-docs)	D	0	yes	0	0	0	11	0	0	0	9	0	0
rdoc/context	stdlib	D	51	yes	4	1	65	0	0	0	1	6	1	0
rdoc/generator	stdlib(no-method-docs)	D	0	yes	0	0	0	0	11	16	0	6	0	0
rdoc/generator/darkfish	stdlib	D	2	yes	0	0	38	0	0	0	0	1	0	0
rdoc/generator/json_index	stdlib	D	2	yes	0	0	11	0	0	0	0	0	0	0
rdoc/generator/markup	stdlib(no-method-docs)	D	0	yes	0	0	0	5	0	0	0	0	0	0
rdoc/generator/ri	stdlib	D	2	yes	0	0	0	0	0	0	0	0	0	0
rdoc/ghost_method	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
rdoc/include	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
rdoc/known_classes	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
rdoc/markdown	stdlib	D	18	yes	6	0	52	0	53	254	1	5	0	0
rdoc/markdown/entities	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
rdoc/markup	stdlib	D	8	yes	3	3	2	0	208	0	0	56	0	0
rdoc/markup/formatter	stdlib	D	3	yes	0	0	14	0	51	0	0	4	0	0
rdoc/markup/to_ansi	stdlib	D	1	yes	0	0	4	0	0	0	0	0	0	0
rdoc/markup/to_bs	stdlib	D	1	yes	0	0	5	0	0	0	0	0	0	0
rdoc/markup/to_html	stdlib	D	1	yes	0	0	36	0	0	0	0	0	0	0
rdoc/markup/to_html_crossref	stdlib	D	1	yes	0	0	11	0	0	0	0	0	0	0
rdoc/markup/to_rdoc	stdlib	D	1	yes	0	0	30	0	0	0	0	0	0	0
rdoc/meta_method	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
rdoc/normal_class	stdlib(no-method-docs)	D	0	yes	0	0	0	4	0	0	0	3	0	0
rdoc/normal_module	stdlib(no-method-docs)	D	0	yes	0	0	0	4	0	0	0	2	0	0
rdoc/options	stdlib	D	70	yes	14	0	36	0	0	0	0	3	0	0
rdoc/parser	stdlib	D	5	yes	2	0	10	0	3	9	0	4	0	0
rdoc/parser/c	stdlib	D	3	yes	1	0	38	0	0	0	0	0	0	0
rdoc/parser/changelog	stdlib	D	1	yes	0	0	7	0	21	0	0	6	0	0
rdoc/parser/markdown	stdlib	D	1	yes	0	0	0	0	0	0	0	0	0	0
rdoc/parser/rd	stdlib	D	1	yes	0	0	0	0	0	0	0	0	0	0
rdoc/parser/ruby	stdlib	D	2	yes	0	0	70	0	0	0	0	1	0	0
rdoc/parser/ruby_tools	stdlib(no-method-docs)	D	0	yes	0	0	0	12	0	0	0	0	0	0
rdoc/parser/simple	stdlib	D	3	yes	1	0	3	0	0	0	0	0	0	0
rdoc/parser/text	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
rdoc/rdoc	stdlib	D	2	yes	0	0	25	0	0	0	0	1	0	0
rdoc/require	stdlib(no-method-docs)	D	0	yes	0	0	0	3	0	0	0	3	0	0
rdoc/single_class	stdlib(no-method-docs)	D	0	yes	0	0	0	3	0	0	0	1	0	0
rdoc/stats	stdlib	D	10	yes	7	0	24	0	20	0	0	1	0	0
rdoc/text	stdlib	D	8	yes	0	0	6	0	0	0	0	0	0	0
rdoc/token_stream	stdlib(no-method-docs)	D	0	yes	0	0	0	8	0	0	0	0	0	0
rdoc/top_level	stdlib	D	14	yes	7	0	21	0	0	0	0	13	0	0
readline	stdlib	D	36	yes	4	0	16	0	0	0	0	0	0	0
reline	stdlib	D	40	yes	0	0	16	0	344	160	0	51	1	0
resolv	stdlib	D	82	yes	0	0	32	10	97	1	0	61	0	0
resolv-replace	stdlib	D	7	yes	1	0	0	0	0	0	0	0	0	0
rexml	bundled	B	4	yes	0	0	6	0	12	26	0	6	0	0
rexml/document	bundled	B	269	yes	1	0	31	45	0	37	1	18	2	0
rexml/parsers/pullparser	bundled	B	21	yes	0	0	5	0	0	0	0	2	0	0
rexml/parsers/sax2parser	bundled	B	4	yes	0	0	2	0	0	6	0	0	0	0
rexml/parsers/streamparser	bundled	B	2	yes	0	0	1	0	0	0	0	0	0	0
rexml/parsers/ultralightparser	bundled	B	3	yes	0	0	1	0	0	0	0	0	0	0
rexml/sax2listener	bundled	B	17	yes	0	0	0	0	0	0	0	0	0	0
rexml/streamlistener	bundled	B	14	yes	0	0	0	0	0	0	0	0	0	0
rinda/rinda	stdlib	D	10	yes	0	0	0	6	4	3	0	3	0	0
rinda/tuplespace	stdlib	D	17	yes	0	0	3	0	23	9	0	7	0	0
ripper	stdlib	E	13	yes	0	0	7	0	0	198	0	0	0	0
ripper/filter	stdlib	E	7	yes	1	0	1	0	0	0	0	0	0	0
ripper/lexer	stdlib	E	7	yes	0	0	2	0	21	65	0	15	0	0
ripper/sexp	stdlib	E	2	yes	0	0	0	0	189	33	0	1	0	0
rss	bundled	B	475	yes	74	0	763	83	1361	944	24	683	20	0
rubygems	stdlib	L	11	yes	0	0	104	0	844	177	0	214	8	0
rubygems/command	stdlib	L	36	yes	0	0	5	0	0	9	0	1	0	0
rubygems/command_manager	stdlib	L	8	yes	0	0	4	0	0	1	0	1	0	0
rubygems/commands/build_command	stdlib	L	5	yes	2	0	0	0	0	6	0	2	0	0
rubygems/commands/cert_command	stdlib(no-method-docs)	L	0	yes	0	0	0	16	0	1	0	3	0	0
rubygems/commands/check_command	stdlib(no-method-docs)	L	0	yes	0	0	0	2	0	0	0	6	0	0
rubygems/commands/cleanup_command	stdlib(no-method-docs)	L	0	yes	0	0	0	5	0	0	0	6	0	0
rubygems/commands/contents_command	stdlib(no-method-docs)	L	0	yes	0	0	0	10	0	0	0	6	0	0
rubygems/commands/dependency_command	stdlib	L	6	yes	1	0	7	0	0	1	0	3	0	0
rubygems/commands/environment_command	stdlib(no-method-docs)	L	0	yes	0	0	0	2	0	1	0	5	0	0
rubygems/commands/fetch_command	stdlib(no-method-docs)	L	0	yes	0	0	0	1	0	0	0	6	0	0
rubygems/commands/generate_index_command	stdlib(no-method-docs)	L	0	yes	0	0	0	0	0	0	0	4	0	0
rubygems/commands/help_command	stdlib(no-method-docs)	L	0	yes	0	0	0	2	0	0	0	3	0	0
rubygems/commands/install_command	stdlib(no-method-docs)	L	0	yes	0	0	0	9	0	0	0	6	0	0
rubygems/commands/list_command	stdlib(no-method-docs)	L	0	yes	0	0	0	0	0	0	0	5	0	0
rubygems/commands/lock_command	stdlib	L	2	yes	0	0	0	0	0	0	0	6	0	0
rubygems/commands/mirror_command	stdlib(no-method-docs)	L	0	yes	0	0	0	0	0	0	0	3	0	0
rubygems/commands/outdated_command	stdlib(no-method-docs)	L	0	yes	0	0	0	0	0	0	0	3	0	0
rubygems/commands/pristine_command	stdlib(no-method-docs)	L	0	yes	0	0	0	0	0	0	0	6	0	0
rubygems/commands/query_command	stdlib(no-method-docs)	L	0	yes	0	0	0	3	0	0	0	2	0	0
rubygems/commands/rdoc_command	stdlib(no-method-docs)	L	0	yes	0	0	0	0	0	0	0	6	0	0
rubygems/commands/search_command	stdlib(no-method-docs)	L	0	yes	0	0	0	0	0	0	0	5	0	0
rubygems/commands/server_command	stdlib(no-method-docs)	L	0	yes	0	0	0	0	0	0	0	3	0	0
rubygems/commands/sources_command	stdlib(no-method-docs)	L	0	yes	0	0	0	9	0	0	0	4	0	0
rubygems/commands/specification_command	stdlib(no-method-docs)	L	0	yes	0	0	0	0	0	0	0	6	0	0
rubygems/commands/stale_command	stdlib(no-method-docs)	L	0	yes	0	0	0	0	0	0	0	4	0	0
rubygems/commands/uninstall_command	stdlib(no-method-docs)	L	0	yes	0	0	0	5	0	0	0	6	0	0
rubygems/commands/unpack_command	stdlib	L	1	yes	0	0	1	0	0	0	0	6	0	0
rubygems/commands/update_command	stdlib	L	2	yes	1	0	15	0	0	1	0	6	0	0
rubygems/commands/which_command	stdlib	L	2	yes	1	1	0	0	0	0	0	6	0	0
rubygems/config_file	stdlib	L	22	yes	2	1	28	0	0	1	0	3	0	0
rubygems/defaults	stdlib	L	9	yes	2	0	0	0	0	0	0	0	0	0
rubygems/dependency	stdlib	L	8	yes	2	0	22	0	0	0	1	7	0	0
rubygems/dependency_installer	stdlib	L	7	yes	3	0	7	0	5	0	1	4	0	0
rubygems/dependency_list	stdlib	L	8	yes	1	0	10	0	0	1	0	2	0	0
rubygems/exceptions	stdlib(no-method-docs)	L	0	yes	0	0	0	6	20	0	0	8	0	0
rubygems/ext	stdlib(no-method-docs)	L	0	yes	0	0	0	0	11	27	0	2	0	0
rubygems/ext/builder	stdlib	L	4	yes	1	0	7	0	0	0	0	1	0	0
rubygems/ext/configure_builder	stdlib	L	1	yes	0	0	0	0	0	0	0	0	0	0
rubygems/ext/ext_conf_builder	stdlib	L	1	yes	0	0	1	0	0	0	0	0	0	0
rubygems/ext/rake_builder	stdlib	L	1	yes	0	0	0	0	0	0	0	0	0	0
rubygems/gem_runner	stdlib	L	1	yes	0	0	1	0	0	1	0	1	0	0
rubygems/indexer	stdlib	L	16	yes	4	0	12	0	0	0	0	0	0	0
rubygems/install_update_options	stdlib	L	2	yes	0	0	1	0	0	0	0	0	0	0
rubygems/installer	stdlib	L	25	yes	2	0	30	0	10	5	1	2	0	0
rubygems/local_remote_options	stdlib	L	9	yes	0	0	1	0	0	0	0	0	0	0
rubygems/package	stdlib	L	3	yes	2	0	39	1	21	0	0	10	0	0
rubygems/package/tar_header	stdlib	L	21	yes	0	0	2	0	0	3	0	1	0	0
rubygems/package/tar_reader	stdlib	L	5	yes	0	0	1	0	0	0	0	0	0	0
rubygems/package/tar_reader/entry	stdlib	L	12	yes	0	0	5	0	0	0	0	1	0	0
rubygems/package/tar_writer	stdlib	L	14	yes	0	0	4	0	0	0	0	0	0	0
rubygems/platform	stdlib	L	14	yes	0	0	6	0	0	1	1	1	0	0
rubygems/remote_fetcher	stdlib	L	6	yes	0	0	14	0	0	2	0	2	0	0
rubygems/requirement	stdlib	L	15	yes	0	0	8	0	0	2	0	4	0	0
rubygems/security	stdlib	L	26	yes	7	1	31	0	8	0	0	3	0	0
rubygems/spec_fetcher	stdlib	L	13	yes	9	0	8	0	0	0	0	1	0	0
rubygems/specification	stdlib	L	101	yes	0	0	102	0	0	21	7	12	0	0
rubygems/uninstaller	stdlib	L	12	yes	0	0	5	0	0	4	0	0	0	0
rubygems/user_interaction	stdlib	L	39	yes	0	0	7	2	9	2	0	8	1	0
rubygems/validator	stdlib	L	5	yes	4	0	0	0	5	1	0	6	0	0
rubygems/version	stdlib	L	12	yes	0	0	7	0	0	4	0	4	0	0
rubygems/version_option	stdlib	L	2	yes	0	0	2	0	0	0	0	0	0	0
securerandom	stdlib	D	7	yes	0	0	2	0	0	2	0	0	0	0
shellwords	stdlib	D	10	yes	0	0	0	0	0	0	0	0	0	0
singleton	stdlib	D	3	yes	1	0	0	0	2	6	0	0	0	0
socket	stdlib	E	189	yes	4	0	7	0	0	17	4	11	0	0
stringio	stdlib	D	62	yes	0	0	1	0	0	0	0	1	0	0
strscan	stdlib	D	45	yes	0	0	5	0	0	0	0	1	0	0
syntax_suggest/core_ext	undoc-lib	.	0	-	0	0	0	0	3	0	0	2	0	0
syslog	stdlib	D	22	yes	0	3	2	1	0	0	0	0	0	0
syslog/logger	stdlib	D	22	yes	0	0	2	0	0	1	0	0	0	0
tempfile	stdlib	D	11	yes	0	0	1	0	1	1	0	1	0	0
test/unit	bundled(no-method-docs)	B	0	yes	0	0	0	0	435	145	0	83	0	0
thread	stale-lib	.	0	yes	0	0	0	0	0	0	0	0	0	0
time	stdlib	D	12	yes	0	0	1	0	0	5	0	0	0	0
timeout	stdlib	D	1	yes	0	0	1	1	0	1	0	2	0	0
tmpdir	stdlib	D	2	yes	0	0	0	0	2	2	0	0	0	0
tsort	stdlib	D	12	yes	0	0	0	0	0	0	0	0	0	0
typeprof	bundled(no-method-docs)	B	0	yes	0	0	0	0	705	54	0	144	0	0
un	stdlib	D	13	yes	0	0	0	0	1	3	0	0	0	0
uri	stdlib	D	88	yes	0	0	32	0	23	30	0	14	0	0
weakref	stdlib	D	4	yes	0	0	0	0	0	0	0	0	0	0
win32/registry	stdlib	E	68	skipped	0	0	0	0	0	0	0	0	0	0
win32/resolv	stdlib	E	2	skipped	0	0	0	0	0	0	0	0	0	0
win32ole	stdlib	D	130	skipped	0	0	0	0	0	0	0	0	0	0
yaml	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
yaml/dbm	stdlib	D	22	require-failed	0	0	0	0	0	0	0	0	0	0
yaml/store	stdlib	D	1	yes	0	0	0	0	4	0	0	2	0	0
zlib	stdlib	D	99	yes	1	0	9	0	0	0	0	1	0	0
