lib	scope	unit_kind	doc_methods	measured	excess_method	excess_const	undoc	undoc_class_stub	undoc_class_undoc	undoc_priv	alias_of_doc	doc_on_ancestor	doc_on_descendant	nomethod_conflict
English	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
_builtin	builtin	core	2199	yes	24	2	12	0	1	8	18	98	4	0
abbrev	stdlib	D	2	yes	0	0	0	0	0	0	0	0	0	0
base64	stdlib	D	6	yes	0	0	0	0	0	0	0	0	0	0
benchmark	stdlib	D	32	yes	0	0	1	0	0	0	0	0	0	0
bigdecimal	stdlib	D	64	yes	0	0	6	0	0	0	0	0	0	0
bigdecimal/jacobian	stdlib	D	3	yes	0	0	0	0	0	0	0	0	0	0
bigdecimal/ludcmp	stdlib	D	2	yes	0	0	0	0	0	0	0	0	0	0
bigdecimal/math	stdlib	D	6	yes	0	0	0	0	0	0	0	0	0	0
bigdecimal/newton	stdlib	D	2	yes	0	0	0	0	0	0	0	0	0	0
bigdecimal/util	stdlib	D	7	yes	0	0	1	0	0	0	0	0	0	0
bundler	stdlib(no-method-docs)	D	0	yes	0	0	0	0	1167	360	0	159	0	0
bundler/vendor/fileutils/lib/fileutils	vendored	D	0	-	0	0	0	0	225	214	0	3	0	0
cgi	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
cgi/cookie	stdlib	D	17	yes	0	0	0	0	0	0	0	1	0	0
cgi/core	stdlib	D	57	yes	6	1	1	0	0	10	0	1	0	0
cgi/html	stdlib	D	33	yes	4	0	241	0	110	0	0	0	0	0
cgi/session	stdlib	D	24	yes	0	0	1	0	0	1	0	0	0	0
cgi/session/pstore	stdlib	D	5	yes	0	0	0	0	0	0	0	0	0	0
cgi/util	stdlib	D	14	yes	0	2	0	0	15	0	0	0	0	0
continuation	stdlib	E	3	yes	0	0	0	0	0	0	0	0	0	0
coverage	stdlib	E	5	yes	0	0	5	0	0	8	0	0	0	0
csv	stdlib	D	135	yes	0	0	13	2	43	66	1	16	0	0
date	stdlib	D	133	yes	1	0	4	0	3	1	0	17	5	0
debug	bundled	B	0	skipped	0	0	0	0	0	0	0	0	0	0
delegate	stdlib	D	18	yes	0	0	4	0	0	4	0	0	0	0
did_you_mean	stdlib(no-method-docs)	D	0	yes	0	0	0	0	46	13	0	9	0	0
digest	stdlib	D	25	yes	0	0	1	8	0	2	0	2	16	0
digest/bubblebabble	stdlib	D	1	yes	0	0	0	0	0	0	0	0	0	0
digest/md5	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
digest/rmd160	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
digest/sha1	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
digest/sha2	stdlib	D	3	yes	0	0	3	0	0	1	0	2	0	0
