lib	scope	class	typemark	name	category	3.0	3.1	3.2	3.3	3.4	4.0	4.1	pattern	first_present
rss	bundled	RSS::DublinCoreModel	#	dc_descriptions	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_format	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_format=	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_formats	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_identifier	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_identifier=	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_identifiers	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_language	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_language=	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_languages	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_publisher	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_publisher=	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_publishers	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_relation	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_relation=	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_relations	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_rights	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_rights=	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_rightses	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_source	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_source=	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_sources	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_subject	no-method	X	X	X	X	X	X	X	all	3.0
