V	2.2.10	489	ruby 2.2.10p489 (2018-03-28 revision 63023) [x86_64-linux]
P	Errno::ENOSPC	Errno::ENOSPC
P	Errno::ENOSR	Errno::ENOSR
P	Errno::ENOSTR	Errno::ENOSTR
P	Errno::ENOSYS	Errno::ENOSYS
P	Errno::ENOTBLK	Errno::ENOTBLK
P	Errno::ENOTCAPABLE	Errno::NOERROR
P	Errno::ENOTCONN	Errno::ENOTCONN
P	Errno::ENOTDIR	Errno::ENOTDIR
P	Errno::ENOTEMPTY	Errno::ENOTEMPTY
P	Errno::ENOTNAM	Errno::ENOTNAM
P	Errno::ENOTRECOVERABLE	Errno::ENOTRECOVERABLE
P	Errno::ENOTSOCK	Errno::ENOTSOCK
P	Errno::ENOTSUP	Errno::EOPNOTSUPP
P	Errno::ENOTTY	Errno::ENOTTY
P	Errno::ENOTUNIQ	Errno::ENOTUNIQ
P	Errno::ENXIO	Errno::ENXIO
P	Errno::EOPNOTSUPP	Errno::EOPNOTSUPP
P	Errno::EOVERFLOW	Errno::EOVERFLOW
P	Errno::EOWNERDEAD	Errno::EOWNERDEAD
P	Errno::EPERM	Errno::EPERM
P	Errno::EPFNOSUPPORT	Errno::EPFNOSUPPORT
P	Errno::EPIPE	Errno::EPIPE
P	Errno::EPROCLIM	Errno::NOERROR
P	Errno::EPROCUNAVAIL	Errno::NOERROR
P	Errno::EPROGMISMATCH	Errno::NOERROR
P	Errno::EPROGUNAVAIL	Errno::NOERROR
P	Errno::EPROTO	Errno::EPROTO
P	Errno::EPROTONOSUPPORT	Errno::EPROTONOSUPPORT
P	Errno::EPROTOTYPE	Errno::EPROTOTYPE
P	Errno::ERANGE	Errno::ERANGE
P	Errno::EREMCHG	Errno::EREMCHG
P	Errno::EREMOTE	Errno::EREMOTE
P	Errno::EREMOTEIO	Errno::EREMOTEIO
P	Errno::ERESTART	Errno::ERESTART
P	Errno::ERFKILL	Errno::ERFKILL
P	Errno::EROFS	Errno::EROFS
P	Errno::ERPCMISMATCH	Errno::NOERROR
P	Errno::ESHUTDOWN	Errno::ESHUTDOWN
P	Errno::ESOCKTNOSUPPORT	Errno::ESOCKTNOSUPPORT
P	Errno::ESPIPE	Errno::ESPIPE
P	Errno::ESRCH	Errno::ESRCH
P	Errno::ESRMNT	Errno::ESRMNT
P	Errno::ESTALE	Errno::ESTALE
P	Errno::ESTRPIPE	Errno::ESTRPIPE
P	Errno::ETIME	Errno::ETIME
P	Errno::ETIMEDOUT	Errno::ETIMEDOUT
P	Errno::ETOOMANYREFS	Errno::ETOOMANYREFS
P	Errno::ETXTBSY	Errno::ETXTBSY
P	Errno::EUCLEAN	Errno::EUCLEAN
P	Errno::EUNATCH	Errno::EUNATCH
P	Errno::EUSERS	Errno::EUSERS
P	Errno::EWOULDBLOCK	Errno::EAGAIN
P	Errno::EXDEV	Errno::EXDEV
P	Errno::EXFULL	Errno::EXFULL
P	Errno::NOERROR	Errno::NOERROR
P	Exception	Exception
P	FalseClass	FalseClass
P	Fiber	Fiber
P	FiberError	FiberError
P	File	File
P	File::Constants	File::Constants
P	File::Stat	File::Stat
P	FileTest	FileTest
P	Fixnum	Fixnum
P	Float	Float
P	FloatDomainError	FloatDomainError
P	GC	GC
P	GC::Profiler	GC::Profiler
P	Hash	Hash
P	IO	IO
P	IO::EAGAINWaitReadable	IO::EAGAINWaitReadable
P	IO::EAGAINWaitWritable	IO::EAGAINWaitWritable
P	IO::EINPROGRESSWaitReadable	IO::EINPROGRESSWaitReadable
P	IO::EINPROGRESSWaitWritable	IO::EINPROGRESSWaitWritable
P	IO::EWOULDBLOCKWaitReadable	IO::EAGAINWaitReadable
P	IO::EWOULDBLOCKWaitWritable	IO::EAGAINWaitWritable
P	IO::WaitReadable	IO::WaitReadable
P	IO::WaitWritable	IO::WaitWritable
P	IOError	IOError
P	IndexError	IndexError
P	Integer	Integer
P	Interrupt	Interrupt
P	Kernel	Kernel
P	KeyError	KeyError
P	LoadError	LoadError
P	LocalJumpError	LocalJumpError
P	Marshal	Marshal
P	MatchData	MatchData
P	Math	Math
P	Math::DomainError	Math::DomainError
P	Method	Method
P	Module	Module
P	Mutex	Mutex
P	NameError	NameError
P	NilClass	NilClass
P	NoMemoryError	NoMemoryError
P	NoMethodError	NoMethodError
P	NotImplementedError	NotImplementedError
P	Numeric	Numeric
P	Object	Object
P	ObjectSpace	ObjectSpace
P	ObjectSpace::WeakMap	ObjectSpace::WeakMap
P	Proc	Proc
P	Process	Process
P	Process::GID	Process::GID
P	Process::Status	Process::Status
P	Process::Sys	Process::Sys
P	Process::Tms	Process::Tms
P	Process::UID	Process::UID
P	Process::Waiter	Process::Waiter
P	Random	Random
P	Range	Range
P	RangeError	RangeError
P	Rational	Rational
P	Regexp	Regexp
P	RegexpError	RegexpError
P	RubyVM	RubyVM
P	RubyVM::Env	RubyVM::Env
P	RubyVM::InstructionSequence	RubyVM::InstructionSequence
P	RuntimeError	RuntimeError
P	ScriptError	ScriptError
P	SecurityError	SecurityError
P	Signal	Signal
P	SignalException	SignalException
P	StandardError	StandardError
P	StopIteration	StopIteration
P	String	String
P	Struct	Struct
P	Struct::Tms	Process::Tms
P	Symbol	Symbol
P	SyntaxError	SyntaxError
P	SystemCallError	SystemCallError
P	SystemExit	SystemExit
P	SystemStackError	SystemStackError
P	Thread	Thread
P	Thread::Backtrace	Thread::Backtrace
P	Thread::Backtrace::Location	Thread::Backtrace::Location
P	ThreadError	ThreadError
P	ThreadGroup	ThreadGroup
P	Time	Time
P	TracePoint	TracePoint
P	TrueClass	TrueClass
P	TypeError	TypeError
P	UnboundMethod	UnboundMethod
P	UncaughtThrowError	UncaughtThrowError
P	ZeroDivisionError	ZeroDivisionError
A	ARGF.class	class	Object	ARGF.class,Enumerable,Object,Kernel,BasicObject
M	ARGF.class	i	pub	argv
M	ARGF.class	i	pub	binmode
M	ARGF.class	i	pub	binmode?
M	ARGF.class	i	pub	bytes
M	ARGF.class	i	pub	chars
M	ARGF.class	i	pub	close
M	ARGF.class	i	pub	closed?
M	ARGF.class	i	pub	codepoints
M	ARGF.class	i	pub	each
M	ARGF.class	i	pub	each_byte
M	ARGF.class	i	pub	each_char
