3.0	full=ruby 3.0.5p211 (2022-11-24 revision ba5cf0f7c5) [x86_64-linux]	allruby=ruby 3.0.5p211 (2022-11-24 revision ba5cf0f7c5) [x86_64-linux]
3.1	full=ruby 3.1.7p261 (2025-03-26 revision 0a3704f218) [x86_64-linux]	allruby=ruby 3.1.7p261 (2025-03-26 revision 0a3704f218) [x86_64-linux]
3.2	full=ruby 3.2.10 (2026-01-14 revision a3a6d25788) [x86_64-linux]	allruby=ruby 3.2.10 (2026-01-14 revision a3a6d25788) [x86_64-linux]
3.3	full=ruby 3.3.11 (2026-03-26 revision 1f2d15125a) [x86_64-linux]	allruby=ruby 3.3.11 (2026-03-26 revision 1f2d15125a) [x86_64-linux]
3.4	full=ruby 3.4.10 (2026-06-30 revision 2b0b7728dc) +PRISM [x86_64-linux]	allruby=ruby 3.4.10 (2026-06-30 revision 2b0b7728dc) +PRISM [x86_64-linux]
4.0	full=ruby 4.0.7 (2026-09-15 revision 229531a6cf) +PRISM [x86_64-linux]	allruby=ruby 4.0.6 (2026-07-14 revision 03b6d3f889) +PRISM [x86_64-linux]
