bucket	lib	class	type	name	3.03.13.23.33.44.0
always-ng	cgi/core	CGI	::	MAX_MULTIPART_LENGTH	XXXXXr
always-ng	cgi/core	CGI::QueryExtension::Value	#	[]	CCCCCr
always-ng	cgi/core	CGI::QueryExtension::Value	#	first	CCCCCr
always-ng	cgi/core	CGI::QueryExtension::Value	#	last	CCCCCr
always-ng	cgi/core	CGI::QueryExtension::Value	#	set_params	CCCCCr
always-ng	cgi/core	CGI::QueryExtension::Value	#	to_a	CCCCCr
always-ng	cgi/core	CGI::QueryExtension::Value	#	to_ary	CCCCCr
always-ng	cgi/html	CGI::Html3	#	element_init	XXXXXr
always-ng	cgi/html	CGI::Html4	#	element_init	XXXXXr
always-ng	cgi/html	CGI::Html4Fr	#	element_init	XXXXXr
always-ng	cgi/html	CGI::Html4Tr	#	element_init	XXXXXr
always-ng	date	DateTime	.	today	XXXXXX
always-ng	etc	Etc::Passwd	#	age	XXXXXX
always-ng	etc	Etc::Passwd	#	age=	XXXXXX
always-ng	etc	Etc::Passwd	#	change	XXXXXX
always-ng	etc	Etc::Passwd	#	change=	XXXXXX
always-ng	etc	Etc::Passwd	#	comment	XXXXXX
always-ng	etc	Etc::Passwd	#	comment=	XXXXXX
always-ng	etc	Etc::Passwd	#	expire	XXXXXX
always-ng	etc	Etc::Passwd	#	expire=	XXXXXX
always-ng	etc	Etc::Passwd	#	quota	XXXXXX
always-ng	etc	Etc::Passwd	#	quota=	XXXXXX
always-ng	etc	Etc::Passwd	#	uclass	XXXXXX
always-ng	etc	Etc::Passwd	#	uclass=	XXXXXX
always-ng	fiddle	Fiddle	.	win32_last_error	rXXXXX
always-ng	fiddle	Fiddle	.	win32_last_error=	rXXXXX
always-ng	fiddle	Fiddle::Function	::	STDCALL	rXXXXX
always-ng	fiddle/import	Fiddle::CStruct	.	malloc	rXXXXX
always-ng	fiddle/import	Fiddle::CStruct	.	size	rXXXXX
always-ng	fiddle/import	Fiddle::CStruct	#	to_i	rXXXXX
always-ng	fiddle/import	Fiddle::CStruct	#	to_ptr	rXXXXX
always-ng	irb/context	IRB::Context	#	debug?	XrrXXX
always-ng	irb/context	IRB::Context	#	debug_level	XrrXXX
always-ng	irb/context	IRB::Context	#	debug_level=	XrrXXX
always-ng	irb/ext/tracer	IRB::Context	#	use_tracer	rXXCCC
always-ng	irb/ext/tracer	IRB::Context	#	use_tracer?	rXXCCC
always-ng	irb/input-method	IRB::InputMethod	#	readable_atfer_eof?	XXXXXX
always-ng	irb/input-method	IRB::ReadlineInputMethod	#	readable_atfer_eof?	XXXXXX
always-ng	irb/input-method	IRB::StdioInputMethod	#	readable_atfer_eof?	XXXXXX
always-ng	irb/magic-file	IRB::MagicFile	.	ENCODING_SPEC_RE	XXX---
always-ng	json	JSON	::	VARIANT_BINARY	XXXXXX
always-ng	json	JSON::Generator::GeneratorMethods::Array	#	to_json	CCCCCC
always-ng	json	JSON::Generator::GeneratorMethods::FalseClass	#	to_json	CCCCCC
always-ng	json	JSON::Generator::GeneratorMethods::Float	#	to_json	CCCCCC
always-ng	json	JSON::Generator::GeneratorMethods::Hash	#	to_json	CCCCCC
always-ng	json	JSON::Generator::GeneratorMethods::Integer	#	to_json	CCCCCC
always-ng	json	JSON::Generator::GeneratorMethods::NilClass	#	to_json	CCCCCC
always-ng	json	JSON::Generator::GeneratorMethods::Object	#	to_json	CCCCCC
always-ng	json	JSON::Generator::GeneratorMethods::String	#	to_json	CCCCCC
always-ng	json	JSON::Generator::GeneratorMethods::String	#	to_json_raw	CCCCCC
always-ng	json	JSON::Generator::GeneratorMethods::String	#	to_json_raw_object	CCCCCC
always-ng	json	JSON::Generator::GeneratorMethods::String::Extend	.	json_create	CCCCCC
always-ng	json	JSON::Generator::GeneratorMethods::TrueClass	#	to_json	CCCCCC
always-ng	mutex_m	Mutex_m	#	lock	XXXXXX
always-ng	mutex_m	Mutex_m	#	locked?	XXXXXX
always-ng	mutex_m	Mutex_m	#	synchronize	XXXXXX
always-ng	mutex_m	Mutex_m	#	try_lock	XXXXXX
