name	since	until	category
rubygems/defaults			
rubygems/dependency			
rubygems/dependency_installer			
rubygems/dependency_list			
rubygems/exceptions			
rubygems/ext			
rubygems/ext/builder			
rubygems/ext/configure_builder			
rubygems/ext/ext_conf_builder			
rubygems/ext/rake_builder			
rubygems/gem_runner			
rubygems/indexer		3.3	
rubygems/install_update_options			
rubygems/installer			
rubygems/local_remote_options			
rubygems/package			
rubygems/package/tar_header			
rubygems/package/tar_reader			
rubygems/package/tar_reader/entry			
rubygems/package/tar_writer			
rubygems/platform			
rubygems/remote_fetcher			
rubygems/requirement			
rubygems/security			
rubygems/server		3.1	
rubygems/spec_fetcher			
rubygems/specification			
rubygems/uninstaller			
rubygems/user_interaction			
rubygems/validator			
rubygems/version			
rubygems/version_option			
scanf		2.7.0	I/O
securerandom			
set		3.2	Math
shell		2.7.0	CUI
shell/builtin-command		2.7.0	
shell/command-processor		2.7.0	
shell/error		2.7.0	
shell/filter		2.7.0	
shell/process-controller		2.7.0	
shell/system-command		2.7.0	
shellwords			Text
singleton			DesignPattern
socket			Network
stringio			Text
strscan			Text
sync		2.7.0	Thread
syslog			Unix
syslog/logger			
tempfile			File
test/unit			Development
thread			Thread
thwait		2.7.0	Thread
time			Date/Time
timeout			Thread
tmpdir			File
tracer		3.1	Development
tsort			Math
typeprof			Development
ubygems	1.9.1	2.5.0	
un			File
uri			Network
weakref			GC
win32/registry			Windows
win32/resolv			Windows
win32ole			Windows
yaml			FileFormat
yaml/dbm			
yaml/store			
zlib			FileFormat
