rubygems/require_paths_builder	unresolved	none
rubygems/source_index	unresolved	none
rubygems/source_info_cache	unresolved	none
rubygems/source_info_cache_entry	unresolved	none
rubygems/test_utilities	unresolved	none
rubygems/timer	unresolved	none
syslog	unresolved	none
syslog/logger	unresolved	none
test/unit	unresolved	none
thread	unresolved	none
tsort	unresolved	none
win32/registry	unresolved	none
win32ole	unresolved	none
xmlrpc	unresolved	none
