name	verdict	where
matrix	yes	gem:matrix@0.4.2
minitest/autorun	yes	gem:minitest@5.15.0
minitest/mock	yes	gem:minitest@5.15.0
minitest/spec	yes	gem:minitest@5.15.0
minitest/unit	yes	gem:minitest@5.15.0
net/ftp	yes	gem:net-ftp@0.1.4
net/imap	yes	gem:net-imap@0.2.4
net/pop	yes	gem:net-pop@0.1.1
net/smtp	yes	gem:net-smtp@0.3.1.1
power_assert	yes	gem:power_assert@2.0.1
prime	yes	gem:prime@0.1.2
rake	yes	gem:rake@13.0.6
rake/classic_namespace	no	gem:rake@13.0.6(checked,missing:lib/rake/classic_namespace.rb)
rake/clean	yes	gem:rake@13.0.6
rake/gempackagetask	no	gem:rake@13.0.6(checked,missing:lib/rake/gempackagetask.rb)
rake/loaders/makefile	yes	gem:rake@13.0.6
rake/packagetask	yes	gem:rake@13.0.6
rake/rake_test_loader	yes	gem:rake@13.0.6
rake/rdoctask	no	gem:rake@13.0.6(checked,missing:lib/rake/rdoctask.rb)
rake/runtest	no	gem:rake@13.0.6(checked,missing:lib/rake/runtest.rb)
rake/tasklib	yes	gem:rake@13.0.6
rake/testtask	yes	gem:rake@13.0.6
rexml	yes	gem:rexml@3.3.9
rexml/document	yes	gem:rexml@3.3.9
rexml/parsers/pullparser	yes	gem:rexml@3.3.9
rexml/parsers/sax2parser	yes	gem:rexml@3.3.9
rexml/parsers/streamparser	yes	gem:rexml@3.3.9
rexml/parsers/ultralightparser	yes	gem:rexml@3.3.9
rexml/sax2listener	yes	gem:rexml@3.3.9
rexml/streamlistener	yes	gem:rexml@3.3.9
rss	yes	gem:rss@0.3.1
test/unit	yes	gem:test-unit@3.5.3
