name	verdict	where
net/smtp	yes	gem:net-smtp@v0.5.1
net/telnet	no	none
nkf	yes	gem:nkf@v0.3.0
objspace	yes	ext
observer	yes	gem:observer@v0.1.2
open-uri	yes	lib
open3	yes	lib
openssl	yes	ext
optparse	yes	lib
optparse/date	yes	lib
optparse/shellwords	yes	lib
optparse/time	yes	lib
optparse/uri	yes	lib
ostruct	yes	gem:ostruct@v0.6.3
pathname	yes	lib
power_assert	yes	gem:power_assert@v3.1.0
pp	yes	lib
prettyprint	yes	lib
prime	yes	gem:prime@v0.1.4
prism	yes	lib
pstore	yes	gem:pstore@v0.2.1
psych	yes	ext
pty	yes	ext
racc/parser	yes	gem:racc@v1.8.1
rake	yes	gem:rake@v13.4.2
rake/classic_namespace	no	gem:rake(checked,missing:lib/rake/classic_namespace.rb)
rake/clean	yes	gem:rake@v13.4.2
rake/gempackagetask	no	gem:rake(checked,missing:lib/rake/gempackagetask.rb)
rake/loaders/makefile	yes	gem:rake@v13.4.2
rake/packagetask	yes	gem:rake@v13.4.2
rake/rake_test_loader	yes	gem:rake@v13.4.2
rake/rdoctask	no	gem:rake(checked,missing:lib/rake/rdoctask.rb)
rake/runtest	no	gem:rake(checked,missing:lib/rake/runtest.rb)
rake/tasklib	yes	gem:rake@v13.4.2
rake/testtask	yes	gem:rake@v13.4.2
rbconfig	yes	generated (tool/mkconfig.rb at build time; not a committed lib/ext source file -- caught only incidentally via ext/rbconfig/sizeof/ prefix)
rbconfig/sizeof	yes	ext
rdoc	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/alias	no	gem:rdoc(checked,missing:lib/rdoc/alias.rb)
rdoc/anon_class	no	gem:rdoc(checked,missing:lib/rdoc/anon_class.rb)
rdoc/any_method	no	gem:rdoc(checked,missing:lib/rdoc/any_method.rb)
rdoc/attr	no	gem:rdoc(checked,missing:lib/rdoc/attr.rb)
rdoc/class_module	no	gem:rdoc(checked,missing:lib/rdoc/class_module.rb)
rdoc/code_object	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/code_objects	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/constant	no	gem:rdoc(checked,missing:lib/rdoc/constant.rb)
rdoc/context	no	gem:rdoc(checked,missing:lib/rdoc/context.rb)
rdoc/generator	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/generator/darkfish	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/generator/json_index	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/generator/markup	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/generator/ri	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/ghost_method	no	gem:rdoc(checked,missing:lib/rdoc/ghost_method.rb)
rdoc/include	no	gem:rdoc(checked,missing:lib/rdoc/include.rb)
rdoc/known_classes	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/markdown	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/markdown/entities	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/markup	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/markup/formatter	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/markup/to_ansi	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/markup/to_bs	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/markup/to_html	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
