1.8.7	ARGF	s	binmode
1.8.7	ARGF	s	bytes
1.8.7	ARGF	s	chars
1.8.7	ARGF	s	close
1.8.7	ARGF	s	closed?
1.8.7	ARGF	s	each
1.8.7	ARGF	s	each_byte
1.8.7	ARGF	s	each_char
1.8.7	ARGF	s	eof
1.8.7	ARGF	s	file
1.8.7	ARGF	s	filename
1.8.7	ARGF	s	fileno
1.8.7	ARGF	s	getbyte
1.8.7	ARGF	s	getc
1.8.7	ARGF	s	gets
1.8.7	ARGF	s	lineno
1.8.7	ARGF	s	lineno=
1.8.7	ARGF	s	lines
1.8.7	ARGF	s	pos
1.8.7	ARGF	s	pos=
1.8.7	ARGF	s	read
1.8.7	ARGF	s	readbyte
1.8.7	ARGF	s	readchar
1.8.7	ARGF	s	readline
1.8.7	ARGF	s	readlines
1.8.7	ARGF	s	rewind
1.8.7	ARGF	s	seek
1.8.7	ARGF	s	skip
1.8.7	ARGF	s	to_io
1.8.7	ARGF	s	to_s
1.8.7	Array	i	&
1.8.7	Array	i	*
1.8.7	Array	i	+
1.8.7	Array	i	-
1.8.7	Array	i	<<
1.8.7	Array	i	<=>
1.8.7	Array	i	==
1.8.7	Array	i	[]
1.8.7	Array	i	[]=
1.8.7	Array	i	assoc
1.8.7	Array	i	choice
1.8.7	Array	i	clear
1.8.7	Array	i	clone
1.8.7	Array	i	collect!
1.8.7	Array	i	combination
1.8.7	Array	i	compact
1.8.7	Array	i	concat
1.8.7	Array	i	cycle
1.8.7	Array	i	delete
1.8.7	Array	i	delete_at
1.8.7	Array	i	delete_if
1.8.7	Array	i	each
1.8.7	Array	i	each_index
1.8.7	Array	i	empty?
1.8.7	Array	i	eql?
1.8.7	Array	i	fetch
1.8.7	Array	i	fill
1.8.7	Array	i	find_index
1.8.7	Array	i	first
1.8.7	Array	i	flatten
1.8.7	Array	i	hash
1.8.7	Array	i	include?
1.8.7	Array	i	indexes
1.8.7	Array	i	insert
1.8.7	Array	i	inspect
1.8.7	Array	i	join
1.8.7	Array	i	last
1.8.7	Array	i	length
1.8.7	Array	i	nitems
1.8.7	Array	i	pack
1.8.7	Array	i	permutation
1.8.7	Array	i	pop
1.8.7	Array	i	product
1.8.7	Array	i	push
1.8.7	Array	i	rassoc
1.8.7	Array	i	replace
1.8.7	Array	i	reverse
1.8.7	Array	i	reverse_each
1.8.7	Array	i	rindex
1.8.7	Array	i	shift
1.8.7	Array	i	shuffle
1.8.7	Array	i	shuffle!
1.8.7	Array	i	slice
1.8.7	Array	i	slice!
1.8.7	Array	i	sort
1.8.7	Array	i	to_a
1.8.7	Array	i	to_ary
1.8.7	Array	i	to_s
1.8.7	Array	i	transpose
1.8.7	Array	i	uniq
1.8.7	Array	i	unshift
1.8.7	Array	i	values_at
1.8.7	Array	i	zip
1.8.7	Array	i	|
1.8.7	Array	s	[]
1.8.7	Array	s	new
1.8.7	Bignum	i	%
1.8.7	Bignum	i	&
1.8.7	Bignum	i	*
1.8.7	Bignum	i	**
1.8.7	Bignum	i	+
1.8.7	Bignum	i	-
1.8.7	Bignum	i	-@
1.8.7	Bignum	i	/
1.8.7	Bignum	i	<<
1.8.7	Bignum	i	<=>
1.8.7	Bignum	i	==
1.8.7	Bignum	i	>>
1.8.7	Bignum	i	[]
1.8.7	Bignum	i	^
1.8.7	Bignum	i	abs
1.8.7	Bignum	i	divmod
1.8.7	Bignum	i	eql?
1.8.7	Bignum	i	fdiv
1.8.7	Bignum	i	hash
1.8.7	Bignum	i	quo
1.8.7	Bignum	i	remainder
1.8.7	Bignum	i	size
1.8.7	Bignum	i	to_f
1.8.7	Bignum	i	to_s
1.8.7	Bignum	i	|
1.8.7	Bignum	i	~
1.8.7	Binding	i	eval
1.8.7	Class	i	_load
1.8.7	Class	i	allocate
1.8.7	Class	i	inherited
1.8.7	Class	i	new
1.8.7	Class	i	superclass
1.8.7	Class	s	new
1.8.7	Comparable	i	<
1.8.7	Comparable	i	<=
1.8.7	Comparable	i	==
1.8.7	Comparable	i	>
1.8.7	Comparable	i	>=
1.8.7	Comparable	i	between?
1.8.7	Continuation	i	[]
1.8.7	Dir	i	close
1.8.7	Dir	i	each
1.8.7	Dir	i	inspect
1.8.7	Dir	i	path
1.8.7	Dir	i	pos
1.8.7	Dir	i	pos=
1.8.7	Dir	i	read
1.8.7	Dir	i	rewind
1.8.7	Dir	s	[]
1.8.7	Dir	s	chdir
1.8.7	Dir	s	chroot
1.8.7	Dir	s	delete
1.8.7	Dir	s	entries
1.8.7	Dir	s	foreach
1.8.7	Dir	s	getwd
1.8.7	Dir	s	mkdir
1.8.7	Dir	s	new
1.8.7	ENV	s	[]
1.8.7	ENV	s	[]=
1.8.7	ENV	s	clear
1.8.7	ENV	s	delete
1.8.7	ENV	s	delete_if
1.8.7	ENV	s	each
1.8.7	ENV	s	each_key
1.8.7	ENV	s	each_value
1.8.7	ENV	s	empty?
1.8.7	ENV	s	fetch
1.8.7	ENV	s	has_key?
1.8.7	ENV	s	has_value?
1.8.7	ENV	s	index
1.8.7	ENV	s	indexes
1.8.7	ENV	s	inspect
1.8.7	ENV	s	invert
1.8.7	ENV	s	keys
1.8.7	ENV	s	length
1.8.7	ENV	s	rehash
1.8.7	ENV	s	reject
1.8.7	ENV	s	replace
1.8.7	ENV	s	select
1.8.7	ENV	s	shift
1.8.7	ENV	s	to_a
1.8.7	ENV	s	to_hash
1.8.7	ENV	s	to_s
1.8.7	ENV	s	update
1.8.7	ENV	s	values
1.8.7	ENV	s	values_at
1.8.7	Enumerable	i	all?
1.8.7	Enumerable	i	any?
1.8.7	Enumerable	i	collect
1.8.7	Enumerable	i	count
1.8.7	Enumerable	i	cycle
1.8.7	Enumerable	i	detect
1.8.7	Enumerable	i	drop
1.8.7	Enumerable	i	drop_while
1.8.7	Enumerable	i	each_cons
1.8.7	Enumerable	i	each_slice
1.8.7	Enumerable	i	each_with_index
1.8.7	Enumerable	i	entries
1.8.7	Enumerable	i	find_all
1.8.7	Enumerable	i	find_index
1.8.7	Enumerable	i	first
1.8.7	Enumerable	i	grep
1.8.7	Enumerable	i	group_by
1.8.7	Enumerable	i	include?
1.8.7	Enumerable	i	inject
1.8.7	Enumerable	i	max
1.8.7	Enumerable	i	max_by
1.8.7	Enumerable	i	min
1.8.7	Enumerable	i	min_by
1.8.7	Enumerable	i	minmax
1.8.7	Enumerable	i	minmax_by
1.8.7	Enumerable	i	none?
1.8.7	Enumerable	i	one?
1.8.7	Enumerable	i	partition
1.8.7	Enumerable	i	reject
1.8.7	Enumerable	i	reverse_each
1.8.7	Enumerable	i	sort
1.8.7	Enumerable	i	sort_by
1.8.7	Enumerable	i	take
1.8.7	Enumerable	i	take_while
1.8.7	Enumerable	i	zip
1.8.7	Enumerable::Enumerator	i	each
1.8.7	Enumerable::Enumerator	i	next
1.8.7	Enumerable::Enumerator	i	rewind
1.8.7	Enumerable::Enumerator	i	with_index
1.8.7	Enumerable::Enumerator	s	new
1.8.7	Errno::EXXX	c	Errno
1.8.7	Errno::EXXX	s	new
1.8.7	Exception	i	backtrace
1.8.7	Exception	i	exception
1.8.7	Exception	i	inspect
1.8.7	Exception	i	message
1.8.7	Exception	i	set_backtrace
1.8.7	Exception	s	exception
1.8.7	FalseClass	i	&
1.8.7	FalseClass	i	^
1.8.7	FalseClass	i	to_s
1.8.7	FalseClass	i	|
1.8.7	File	c	ALT_SEPARATOR
1.8.7	File	c	PATH_SEPARATOR
1.8.7	File	c	SEPARATOR
1.8.7	File	i	atime
1.8.7	File	i	chmod
1.8.7	File	i	chown
1.8.7	File	i	ctime
1.8.7	File	i	flock
1.8.7	File	i	lstat
1.8.7	File	i	mtime
1.8.7	File	i	path
1.8.7	File	i	truncate
1.8.7	File	s	atime
1.8.7	File	s	basename
1.8.7	File	s	blockdev?
1.8.7	File	s	chardev?
1.8.7	File	s	chmod
1.8.7	File	s	chown
1.8.7	File	s	ctime
1.8.7	File	s	delete
1.8.7	File	s	directory?
1.8.7	File	s	dirname
1.8.7	File	s	executable?
1.8.7	File	s	executable_real?
1.8.7	File	s	exist?
1.8.7	File	s	expand_path
1.8.7	File	s	extname
1.8.7	File	s	file?
1.8.7	File	s	fnmatch
1.8.7	File	s	ftype
1.8.7	File	s	grpowned?
1.8.7	File	s	identical?
1.8.7	File	s	join
1.8.7	File	s	lchmod
1.8.7	File	s	lchown
1.8.7	File	s	link
1.8.7	File	s	lstat
1.8.7	File	s	mtime
1.8.7	File	s	new
1.8.7	File	s	owned?
1.8.7	File	s	pipe?
1.8.7	File	s	readable?
1.8.7	File	s	readable_real?
1.8.7	File	s	readlink
1.8.7	File	s	rename
1.8.7	File	s	setgid?
1.8.7	File	s	setuid?
1.8.7	File	s	size
1.8.7	File	s	size?
1.8.7	File	s	socket?
1.8.7	File	s	split
1.8.7	File	s	stat
1.8.7	File	s	sticky?
1.8.7	File	s	symlink
1.8.7	File	s	symlink?
1.8.7	File	s	truncate
1.8.7	File	s	umask
1.8.7	File	s	utime
1.8.7	File	s	writable?
1.8.7	File	s	writable_real?
1.8.7	File	s	zero?
1.8.7	File::Constants	c	APPEND
1.8.7	File::Constants	c	CREAT
1.8.7	File::Constants	c	EXCL
1.8.7	File::Constants	c	FNM_CASEFOLD
1.8.7	File::Constants	c	FNM_DOTMATCH
1.8.7	File::Constants	c	FNM_NOESCAPE
1.8.7	File::Constants	c	FNM_PATHNAME
1.8.7	File::Constants	c	FNM_SYSCASE
1.8.7	File::Constants	c	LOCK_EX
1.8.7	File::Constants	c	LOCK_NB
1.8.7	File::Constants	c	LOCK_SH
1.8.7	File::Constants	c	LOCK_UN
1.8.7	File::Constants	c	NOCTTY
1.8.7	File::Constants	c	NONBLOCK
1.8.7	File::Constants	c	RDONLY
1.8.7	File::Constants	c	RDWR
1.8.7	File::Constants	c	SYNC
1.8.7	File::Constants	c	TRUNC
1.8.7	File::Constants	c	WRONLY
1.8.7	File::Stat	i	<=>
1.8.7	File::Stat	i	atime
