1.8.7	RegexpError
1.8.7	RuntimeError
1.8.7	ScriptError
1.8.7	SecurityError
1.8.7	Signal
1.8.7	SignalException
1.8.7	StandardError
1.8.7	StopIteration
1.8.7	String
1.8.7	Struct
1.8.7	Struct::Tms
1.8.7	Symbol
1.8.7	SyntaxError
1.8.7	SystemCallError
1.8.7	SystemExit
1.8.7	SystemStackError
1.8.7	Thread
1.8.7	ThreadError
1.8.7	ThreadGroup
1.8.7	Time
1.8.7	TrueClass
1.8.7	TypeError
1.8.7	UnboundMethod
1.8.7	ZeroDivisionError
1.8.7	fatal
1.8.7	main
1.9.3	ARGF
1.9.3	ARGF.class
1.9.3	ArgumentError
1.9.3	Array
1.9.3	BasicObject
1.9.3	Bignum
1.9.3	Binding
1.9.3	Class
1.9.3	Comparable
1.9.3	Complex
1.9.3	Data
1.9.3	Dir
1.9.3	ENV
1.9.3	EOFError
1.9.3	Encoding
1.9.3	Encoding::CompatibilityError
1.9.3	Encoding::Converter
1.9.3	Encoding::ConverterNotFoundError
1.9.3	Encoding::InvalidByteSequenceError
1.9.3	Encoding::UndefinedConversionError
1.9.3	EncodingError
1.9.3	Enumerable
1.9.3	Enumerator
1.9.3	Errno
1.9.3	Errno::E2BIG
1.9.3	Errno::EACCES
1.9.3	Errno::EADDRINUSE
1.9.3	Errno::EADDRNOTAVAIL
1.9.3	Errno::EADV
1.9.3	Errno::EAFNOSUPPORT
1.9.3	Errno::EAGAIN
1.9.3	Errno::EALREADY
1.9.3	Errno::EBADE
1.9.3	Errno::EBADF
1.9.3	Errno::EBADFD
1.9.3	Errno::EBADMSG
1.9.3	Errno::EBADR
1.9.3	Errno::EBADRQC
1.9.3	Errno::EBADSLT
1.9.3	Errno::EBFONT
1.9.3	Errno::EBUSY
1.9.3	Errno::ECHILD
1.9.3	Errno::ECHRNG
1.9.3	Errno::ECOMM
1.9.3	Errno::ECONNABORTED
1.9.3	Errno::ECONNREFUSED
1.9.3	Errno::ECONNRESET
1.9.3	Errno::EDEADLK
1.9.3	Errno::EDEADLOCK
1.9.3	Errno::EDESTADDRREQ
1.9.3	Errno::EDOM
1.9.3	Errno::EDOTDOT
1.9.3	Errno::EDQUOT
1.9.3	Errno::EEXIST
1.9.3	Errno::EFAULT
1.9.3	Errno::EFBIG
1.9.3	Errno::EHOSTDOWN
1.9.3	Errno::EHOSTUNREACH
1.9.3	Errno::EIDRM
1.9.3	Errno::EILSEQ
1.9.3	Errno::EINPROGRESS
1.9.3	Errno::EINTR
1.9.3	Errno::EINVAL
1.9.3	Errno::EIO
1.9.3	Errno::EISCONN
1.9.3	Errno::EISDIR
1.9.3	Errno::EISNAM
1.9.3	Errno::EL2HLT
1.9.3	Errno::EL2NSYNC
1.9.3	Errno::EL3HLT
1.9.3	Errno::EL3RST
1.9.3	Errno::ELIBACC
1.9.3	Errno::ELIBBAD
1.9.3	Errno::ELIBEXEC
