#class	1.8.6	1.8.7	1.9.1	1.9.2	1.9.3	2.0.0	2.1	2.2	2.3	2.4	2.5	2.6	2.7	3.0	3.1	3.2	3.3	3.4	4.0	first	last	superclass
Process::Tms	-	-	-	-	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	2.1	4.0	Struct
Process::UID	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	1.8.6	4.0	-
Process::Waiter	-	-	-	-	-	-	-	class	class	class	class	class	class	class	class	class	class	class	class	2.2	4.0	Thread
Ractor	-	-	-	-	-	-	-	-	-	-	-	-	-	class	class	class	class	class	class	3.0	4.0	Object
Ractor::ClosedError	-	-	-	-	-	-	-	-	-	-	-	-	-	class	class	class	class	class	class	3.0	4.0	StopIteration
Ractor::Error	-	-	-	-	-	-	-	-	-	-	-	-	-	class	class	class	class	class	class	3.0	4.0	RuntimeError
Ractor::IsolationError	-	-	-	-	-	-	-	-	-	-	-	-	-	class	class	class	class	class	class	3.0	4.0	Ractor::Error
Ractor::MovedError	-	-	-	-	-	-	-	-	-	-	-	-	-	class	class	class	class	class	class	3.0	4.0	Ractor::Error
Ractor::MovedObject	-	-	-	-	-	-	-	-	-	-	-	-	-	class	class	class	class	class	class	3.0	4.0	BasicObject
Ractor::Port	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	class	4.0	4.0	Object
Ractor::RemoteError	-	-	-	-	-	-	-	-	-	-	-	-	-	class	class	class	class	class	class	3.0	4.0	Ractor::Error
Ractor::UnsafeError	-	-	-	-	-	-	-	-	-	-	-	-	-	class	class	class	class	class	class	3.0	4.0	Ractor::Error
Random	-	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.9.2	4.0	1.9.2:Object;3.0:Random::Base
Random::Base	-	-	-	-	-	-	-	-	-	-	-	-	-	class	class	class	class	class	class	3.0	4.0	Object
Random::Formatter	-	-	-	-	-	-	-	-	module	module	module	module	module	module	module	module	module	module	module	2.3	4.0	-
Range	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	Object
RangeError	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	StandardError
Rational	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.9.1	4.0	Numeric
Refinement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	class	class	class	class	class	3.1	4.0	Module
Regexp	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	Object
Regexp::TimeoutError	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	class	class	class	class	3.2	4.0	RegexpError
RegexpError	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	StandardError
Ruby	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	module	4.0	4.0	-
Ruby::Box	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	class	4.0	4.0	Module
Ruby::Box::Entry	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	class	4.0	4.0	Object
Ruby::Box::Loader	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	module	4.0	4.0	-
RubyVM	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.9.1	4.0	Object
RubyVM::AbstractSyntaxTree	-	-	-	-	-	-	-	-	-	-	-	module	module	module	module	module	module	module	module	2.6	4.0	-
RubyVM::AbstractSyntaxTree::Location	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	class	class	3.4	4.0	Object
RubyVM::AbstractSyntaxTree::Node	-	-	-	-	-	-	-	-	-	-	-	class	class	class	class	class	class	class	class	2.6	4.0	Object
RubyVM::Env	-	-	class	class	class	class	class	class	class	-	-	-	-	-	-	-	-	-	-	1.9.1	2.3	Object
RubyVM::InstructionSequence	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.9.1	4.0	Object
RubyVM::MJIT	-	-	-	-	-	-	-	-	-	-	-	module	module	module	module	module	-	-	-	2.6	3.2	-
RubyVM::RJIT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	module	module	-	3.3	3.4	-
RubyVM::YJIT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	module	-	-	-	-	3.1	3.1	-
RuntimeError	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	StandardError
ScriptError	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	Exception
SecurityError	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	1.8.6:StandardError;1.9.1:Exception
Set	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	class	4.0	4.0	Object
Set::CoreSet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	class	4.0	4.0	Set
Signal	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	1.8.6	4.0	-
SignalException	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	Exception
StandardError	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	Exception
StopIteration	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.7	4.0	IndexError
String	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	Object
Struct	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	Object
Struct::Tms	class	class	class	class	class	class	-	-	-	-	-	-	-	-	-	-	-	-	-	1.8.6	2.0.0	Struct
Symbol	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	Object
SyntaxError	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	ScriptError
SystemCallError	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	StandardError
SystemExit	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	Exception
SystemStackError	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	1.8.6:StandardError;1.9.1:Exception
Thread	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	Object
Thread::Backtrace	-	-	-	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	2.0.0	4.0	Object
Thread::Backtrace::Location	-	-	-	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	2.0.0	4.0	Object
Thread::ConditionVariable	-	-	-	-	-	-	-	-	class	class	class	class	class	class	class	class	class	class	class	2.3	4.0	Object
Thread::Mutex	-	-	-	-	-	-	-	-	class	class	class	class	class	class	class	class	class	class	class	2.3	4.0	Object
Thread::Queue	-	-	-	-	-	-	-	-	class	class	class	class	class	class	class	class	class	class	class	2.3	4.0	Object
Thread::SizedQueue	-	-	-	-	-	-	-	-	class	class	class	class	class	class	class	class	class	class	class	2.3	4.0	Thread::Queue
ThreadError	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	StandardError
ThreadGroup	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	Object
Time	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	Object
TracePoint	-	-	-	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	2.0.0	4.0	Object
TrueClass	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	Object
TypeError	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	StandardError
UnboundMethod	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	Object
UncaughtThrowError	-	-	-	-	-	-	-	class	class	class	class	class	class	class	class	class	class	class	class	2.2	4.0	ArgumentError
UnicodeNormalize	-	-	-	-	-	-	-	-	-	-	module	module	module	module	module	module	module	module	module	2.5	4.0	-
Warning	-	-	-	-	-	-	-	-	-	module	module	module	module	module	module	module	module	module	module	2.4	4.0	-
ZeroDivisionError	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	StandardError
main	object	object	object	object	object	object	object	object	object	object	object	object	object	object	object	object	object	object	object	1.8.6	4.0	-
